2015-07-29 19:05:37 INFO  :189 - Next update in 10 minutes
2015-07-29 19:09:36 INFO  :51 - Program starting
2015-07-29 19:09:36 INFO  :62 - Opening stream to bank of israel
2015-07-29 19:09:39 INFO  :124 - Closing stream with bank of israel
2015-07-29 19:09:41 INFO  :166 - Successfully built GUI
2015-07-29 19:09:41 INFO  :189 - Next update in 10 minutes
2015-07-29 19:11:31 INFO  :51 - Program starting
2015-07-29 19:11:31 INFO  :62 - Opening stream to bank of israel
2015-07-29 19:11:34 INFO  :124 - Closing stream with bank of israel
2015-07-29 19:11:36 INFO  :166 - Successfully built GUI
2015-07-29 19:11:36 INFO  :189 - Next update in 10 minutes
2015-07-29 19:21:19 INFO  :51 - Program starting
2015-07-29 19:21:19 INFO  :62 - Opening stream to bank of israel
2015-07-29 19:21:20 INFO  :124 - Closing stream with bank of israel
2015-07-29 19:21:22 INFO  :166 - Successfully built GUI
2015-07-29 19:21:22 INFO  :189 - Next update in 10 minutes
2015-07-29 19:23:09 INFO  :51 - Program starting
2015-07-29 19:23:09 INFO  :62 - Opening stream to bank of israel
2015-07-29 19:23:13 INFO  :124 - Closing stream with bank of israel
2015-07-29 19:23:14 INFO  :166 - Successfully built GUI
2015-07-29 19:23:14 INFO  :189 - Next update in 10 minutes
2015-07-29 19:25:34 INFO  :55 - Program starting
2015-07-29 19:25:34 INFO  :50 - Opening stream to bank of israel
2015-07-29 19:25:36 INFO  :87 - Closing stream with bank of israel
2015-07-29 19:25:37 INFO  :180 - Successfully built GUI
2015-07-29 19:25:37 INFO  :124 - Next update in 10 minutes
2015-07-29 19:27:42 INFO  :55 - Program starting
2015-07-29 19:27:42 INFO  :50 - Opening stream to bank of israel
2015-07-29 19:27:45 INFO  :87 - Closing stream with bank of israel
2015-07-29 19:27:47 INFO  :180 - Successfully built GUI
2015-07-29 19:27:47 INFO  :124 - Next update in 10 minutes
2015-07-29 19:30:55 INFO  :51 - Program starting
2015-07-29 19:30:55 INFO  :62 - Opening stream to bank of israel
2015-07-29 19:30:58 INFO  :124 - Closing stream with bank of israel
2015-07-29 19:31:00 INFO  :166 - Successfully built GUI
2015-07-29 19:31:00 INFO  :189 - Next update in 10 minutes
2015-07-29 19:31:27 INFO  :55 - Program starting
2015-07-29 19:31:27 INFO  :50 - Opening stream to bank of israel
2015-07-29 19:31:30 INFO  :87 - Closing stream with bank of israel
2015-07-29 19:31:32 INFO  :180 - Successfully built GUI
2015-07-29 19:31:32 INFO  :124 - Next update in 10 minutes
2015-07-30 11:10:46 INFO  :55 - Program starting
2015-07-30 11:10:46 INFO  :50 - Opening stream to bank of israel
2015-07-30 11:10:46 INFO  :87 - Closing stream with bank of israel
2015-07-30 11:10:49 INFO  :180 - Successfully built GUI
2015-07-30 11:10:49 INFO  :124 - Next update in 10 minutes
2015-07-30 11:14:49 INFO  :55 - Program starting
